mean,std,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,class
0.499877685546875,0.007153501953318575,0.52099609375,0.52099609375,0.52099609375,0.520751953125,0.520751953125,0.520751953125,0.5205078125,0.520263671875,0.520263671875,0.52001953125,0
0.49987685546875,0.007311769940702198,0.523193359375,0.52099609375,0.52099609375,0.5205078125,0.5205078125,0.52001953125,0.52001953125,0.51953125,0.51953125,0.519287109375,0
0.49987939453125,0.00728071701980612,0.5234375,0.52197265625,0.520751953125,0.520751953125,0.520263671875,0.519775390625,0.519775390625,0.519775390625,0.51904296875,0.51904296875,0
0.499877099609375,0.007167326723039319,0.5205078125,0.5205078125,0.519775390625,0.51953125,0.51953125,0.519287109375,0.51904296875,0.518798828125,0.518310546875,0.518310546875,0
0.499876611328125,0.006981701242417137,0.521728515625,0.51953125,0.519287109375,0.519287109375,0.5185546875,0.518310546875,0.51806640625,0.517822265625,0.517822265625,0.517822265625,0
0.4998763671875,0.007200893524145565,0.523193359375,0.52099609375,0.520751953125,0.519775390625,0.519775390625,0.51953125,0.519287109375,0.51904296875,0.518798828125,0.518798828125,0
0.499876171875,0.0071039650765583,0.524169921875,0.521728515625,0.520751953125,0.5205078125,0.520263671875,0.520263671875,0.52001953125,0.519287109375,0.51904296875,0.5185546875,0
0.4998806640625,0.0070155730832224365,0.5205078125,0.5185546875,0.518310546875,0.51806640625,0.517822265625,0.517822265625,0.517822265625,0.517578125,0.517578125,0.517578125,0
0.499878662109375,0.006946582892553278,0.518798828125,0.5185546875,0.518310546875,0.518310546875,0.51806640625,0.517822265625,0.517822265625,0.517822265625,0.517822265625,0.517578125,0
0.499876708984375,0.007365136254384606,0.521484375,0.521240234375,0.521240234375,0.52099609375,0.520263671875,0.52001953125,0.519775390625,0.51953125,0.51953125,0.51953125,0
0.499879248046875,0.007405769826879947,0.522705078125,0.5224609375,0.522216796875,0.520263671875,0.519775390625,0.519775390625,0.519775390625,0.51953125,0.519287109375,0.51904296875,0
0.49987841796875,0.0069214241621562145,0.522705078125,0.52001953125,0.51953125,0.519287109375,0.519287109375,0.51904296875,0.518310546875,0.51806640625,0.51806640625,0.517822265625,0
0.499878466796875,0.007064449324687245,0.5205078125,0.519775390625,0.519287109375,0.51904296875,0.5185546875,0.518310546875,0.51806640625,0.51806640625,0.51806640625,0.517822265625,0
0.499880859375,0.006950195449715469,0.52294921875,0.52001953125,0.51904296875,0.518798828125,0.5185546875,0.518310546875,0.517578125,0.517578125,0.517333984375,0.51708984375,0
0.499877880859375,0.006802798791756172,0.52099609375,0.52099609375,0.520263671875,0.519775390625,0.51953125,0.519287109375,0.518798828125,0.5185546875,0.518310546875,0.517822265625,0
0.49987763671875,0.007238637367048121,0.520751953125,0.520751953125,0.5205078125,0.52001953125,0.52001953125,0.519775390625,0.51953125,0.519287109375,0.519287109375,0.51904296875,0
0.499878662109375,0.007175486895525794,0.521484375,0.5205078125,0.519775390625,0.51953125,0.519287109375,0.518798828125,0.518798828125,0.518798828125,0.518798828125,0.518310546875,0
0.49987890625,0.0073428311036853175,0.521240234375,0.520263671875,0.519775390625,0.519775390625,0.51953125,0.519287109375,0.519287109375,0.51904296875,0.51904296875,0.51904296875,0
0.49987861328125,0.007193073898479949,0.522216796875,0.52197265625,0.521728515625,0.521484375,0.5205078125,0.52001953125,0.52001953125,0.52001953125,0.51953125,0.518798828125,0
0.499879296875,0.0071714619064207645,0.523681640625,0.520751953125,0.5205078125,0.520263671875,0.519287109375,0.51904296875,0.51904296875,0.5185546875,0.518310546875,0.51806640625,0
0.499878271484375,0.007213208197660997,0.520263671875,0.519287109375,0.519287109375,0.518798828125,0.518798828125,0.5185546875,0.518310546875,0.518310546875,0.51806640625,0.51806640625,0
0.49987841796875,0.006976032010506979,0.52001953125,0.52001953125,0.52001953125,0.51953125,0.519287109375,0.519287109375,0.51904296875,0.518798828125,0.518798828125,0.5185546875,0
0.4998787109375,0.007267578804735757,0.5224609375,0.52197265625,0.52099609375,0.520751953125,0.520751953125,0.51953125,0.51953125,0.519287109375,0.519287109375,0.518798828125,0
0.499877099609375,0.007109289434735505,0.52294921875,0.521240234375,0.520751953125,0.51904296875,0.51904296875,0.518798828125,0.5185546875,0.5185546875,0.517822265625,0.517822265625,0
0.49987734375,0.007790722800083552,0.52392578125,0.522705078125,0.522216796875,0.521728515625,0.52099609375,0.520751953125,0.5205078125,0.5205078125,0.5205078125,0.520263671875,0
